product_category_name,product_category_name_english
Beleza Saude,Health Beauty
Informatica Acessorios,Computers Accessories
Automotivo,Auto
Cama Mesa Banho,Bed Bath Table
Moveis Decoracao,Furniture Decor
Esporte Lazer,Sports Leisure
Perfumaria,Perfumery
Utilidades Domesticas,Housewares
Telefonia,Telephony
Relogios Presentes,Watches Gifts
Alimentos Bebidas,Food Drink
Bebes,Baby
Papelaria,Stationery
Tablets Impressao Imagem,Tablets Printing Image
Brinquedos,Toys
Telefonia Fixa,Fixed Telephony
Ferramentas Jardim,Garden Tools
Fashion Bolsas E Acessorios,Fashion Bags Accessories
Eletroportateis,Small Appliances
Consoles Games,Consoles Games
Audio,Audio
Fashion Calcados,Fashion Shoes
Cool Stuff,Cool Stuff
Malas Acessorios,Luggage Accessories
Climatizacao,Air Conditioning
Construcao Ferramentas Construcao,Construction Tools Construction
Moveis Cozinha Area De Servico Jantar E Jardim,Kitchen Dining Laundry Garden Furniture
Construcao Ferramentas Jardim,Costruction Tools Garden
Fashion Roupa Masculina,Fashion Male Clothing
Pet Shop,Pet Shop
Moveis Escritorio,Office Furniture
Market Place,Market Place
Eletronicos,Electronics
Eletrodomesticos,Home Appliances
Artigos De Festas,Party Supplies
Casa Conforto,Home Confort
Construcao Ferramentas Ferramentas,Costruction Tools Tools
Agro Industria E Comercio,Agro Industry And Commerce
Moveis Colchao E Estofado,Furniture Mattress And Upholstery
Livros Tecnicos,Books Technical
Casa Construcao,Home Construction
Instrumentos Musicais,Musical Instruments
Moveis Sala,Furniture Living Room
Construcao Ferramentas Iluminacao,Construction Tools Lights
Industria Comercio E Negocios,Industry Commerce And Business
Alimentos,Food
Artes,Art
Moveis Quarto,Furniture Bedroom
Livros Interesse Geral,Books General Interest
Construcao Ferramentas Seguranca,Construction Tools Safety
Fashion Underwear E Moda Praia,Fashion Underwear Beach
Fashion Esporte,Fashion Sport
Sinalizacao E Seguranca,Signaling And Security
Pcs,Computers
Artigos De Natal,Christmas Supplies
Fashion Roupa Feminina,Fashio Female Clothing
Eletrodomesticos 2,Home Appliances 2
Livros Importados,Books Imported
Bebidas,Drinks
Cine Foto,Cine Photo
La Cuisine,La Cuisine
Musica,Music
Casa Conforto 2,Home Comfort 2
Portateis Casa Forno E Cafe,Small Appliances Home Oven And Coffee
Cds Dvds Musicais,Cds Dvds Musicals
Dvds Blu Ray,Dvds Blu Ray
Flores,Flowers
Artes E Artesanato,Arts And Craftmanship
Fraldas Higiene,Diapers And Hygiene
Fashion Roupa Infanto Juvenil,Fashion Childrens Clothes
Seguros E Servicos,Security And Services
